team,filename,rocket_name,parse_status,motor_designation,motor_found,or_apogee_ft,diameter_in,length_in,mass_found,mass_source,mass_lb,cg_found,cg_in,cp_found,cp_in,stability_cal,stability_category,tier_run,our_apogee_ft,apogee_diff_pct,hazard_zone_ft,motor_class,total_impulse_ns,is_multistage,stage_count,nosecone_type,barrowman_cd,cd_used,override_applied,missing_fields,warnings
,Team219_ORK_PR2.ork,Arluuk 4,ok,O5500X-PS,yes,28587,6.49,121.75,yes,override,74.737,yes,87.32,yes,20.00,-10.380,unstable,tier3,27146,-5.0,13611,O,21395.4,no,1,ogive,0.3840,barrowman:0.3840,yes,,
,Team315_ORK_PR2.ork,Team 315,ok,N2220DM,yes,,6.21,143.65,yes,databranch_t0,71.348,yes,98.98,yes,125.08,4.204,stable,tier3,10140,,10608,N,10771.6,no,1,haack,0.5893,barrowman:0.5893,no,,
,Team45_ORK_PR2.ork,Team45_ORK_PR2,ok,N3300R,yes,12895,6.17,141.50,yes,databranch_t0,89.609,yes,92.05,yes,117.73,4.162,stable,tier3,12176,-5.6,13238,N,14034.4,no,1,haack,0.5257,barrowman:0.5257,no,,
,Team503_UFRJ_Hemerav1_Solid_SRAD_10kft_(Single_Stage).ork,Hemera v.1,ok,N3654,no,10009,6.77,109.65,yes,component_sum,41.767,no,,yes,88.02,,,tier1_no_motor,,,2502,,,no,1,haack,0.4257,n/a,no,motor,
,Team600_ORK_PR2.ork,IREC 2026 Two Stage,ok,M6000ST,yes,49377,4.00,164.00,yes,databranch_t0,81.218,yes,94.88,yes,140.83,,,tier1_multistage_or,,0.0,12344,M,9604.6,yes,2,haack,0.9272,n/a,yes,,"override: motor [motor_designation: Motor designation differs â€” OR XML has ""M6000ST"", we matched ""M1939W""] | MULTI-STAGE (2 stages, motors: M1939W / M6000ST): using OR stored apogee (full multi-stage sim)"
,Team71_ORK_PR2.ork,Team71_ORK_PR2,ok,M6000ST,yes,9913,6.17,110.00,yes,databranch_t0,68.910,yes,70.35,yes,84.50,2.293,stable,tier3,9719,-2.0,10535,M,9604.6,no,1,ogive,0.4696,barrowman:0.4696,no,,
,Team74_ORK_PR2.ork,Team74_ORK_PR2,ok,M2400T,yes,10666,5.15,99.00,yes,databranch_t0,50.215,yes,63.43,yes,34.50,-5.617,unstable,tier3,11845,11.1,9006,M,7541.1,no,1,haack,0.3948,barrowman:0.3948,no,,
,Team78_ORK_PR2.ork,Rocket,ok,M2500T,yes,10613,6.17,127.00,yes,databranch_t0,66.253,yes,81.14,yes,22.67,-9.477,unstable,tier3,10405,-2.0,8070,M,9464.3,no,1,haack,0.4096,barrowman:0.4096,no,,
,Team9_ORK_PR2.ork,KuN552,ok,M1850W,yes,11263,4.53,100.39,yes,databranch_t0,47.723,yes,62.52,yes,6.56,-12.359,unstable,tier3,13384,18.8,9829,M,7791.4,no,1,power,0.4682,barrowman:0.4682,yes,,"override: nosecone_type [nosecone_type: OR XML says 'power', we used 'parabolic']"
,Team_316_ORK_PR2.ork,IPR2_ORK,ok,N2221,no,11942,5.98,111.30,yes,databranch_t0,76.692,yes,72.09,yes,82.04,,,tier1_no_motor,,,2985,,,no,1,haack,0.4226,n/a,no,motor,
